placeName,Beleganzahl,Sigle1,Sigle2,Sigle3,Sigle4,Sigle5,Sigle6,Sigle7,Sigle8,Sigle9
Wien,34.308,6.5,,,,,,,,
Mühlhm. OÖ,34.182,5.1c07,,,,,,,,
Radschin in Gm. Kautzen NÖ [2o/1.],28.933,6.3a15,,,,,,,,
Linz OÖ,21.130,5.2e01,,,,,,,,
Thiers. NTir.,20.350,1C.3b03,,,,,,,,
Schlagen in Gm. Gmunden OÖ,20.225,5.3b02,,,,,,,,
Kufstn. NTir.,18.494,1C.3e06,,,,,,,,
Rangersdf. Kä.,16.450,2.1b04,,,,,,,,
Stainz/S. St.,16.023,3.3c08,,,,,,,,
(Umg./Bz.) Braunau OÖ,15.737,5.1b,,,,,,,,
Traun OÖ,15.621,5.2a39,,,,,,,,
Gerolding in Gm. Dunkelsteinerwd. NÖ,15.481,6.1n02,,,,,,,,
Gersthf. (im 18.Bz.) in Gm. Wien,13.575,6.5,,,,,,,,
Fusch Sa.,13.315,4.2c01,,,,,,,,
Pottendf. NÖ,12.480,6.2j15,,,,,,,,
Gmunden OÖ,12.351,5.3b02,,,,,,,,
Poysdf. NÖ,11.909,6.4d18,,,,,,,,
Fendels NTir.,11.329,1C.1m02,,,,,,,,
Gr.Lobming St.,11.053,3.1d03,,,,,,,,
Ulrichsbg. OÖ,10.608,5.4b13,,,,,,,,
Rohr NÖ,10.323,6.2e04,,,,,,,,
(Umg.) Herzogenb-g. NÖ,9.981,6.1o01,,,,,,,,
Imst NTir.,9.667,1C.1n01,,,,,,,,
(Umg.) Straßb-g. Kä. ^#^# tw. verkürzte FbNr.?,9.395,2.3b05,,,,,,,,
(Umg.) St.Gilgen Sa.,9.084,4.5d05,,,,,,,,
Gr.Arlt. in Sa.,8.788,4.3d,,,,,,,,
Puchbg. NÖ,8.550,6.2e03,,,,,,,,
Schwoich NTir.,8.336,1C.3e12,,,,,,,,
Weibern OÖ,7.980,5.2b46,,,,,,,,
Reidling in Sitzenbg.-Reidling NÖ,7.951,6.1s06,,,,,,,,
Pulkaut. in NÖ,7.675,6.4b,,,,,,,,
(D/Gm./Bz.) Poysdf. NÖ,7.223,6.4d18,,,,,,,,
Purgstall NÖ,7.167,6.1f05,,,,,,,,
Mauer (im 23.Bz.) in Gm. Wien,6.950,6.5,,,,,,,,
Bubendf. in Gm. Pilgersdf. Bgl.,6.676,7.2b08,,,,,,,,
Kröllendf. NÖ,6.643,6.1d01,,,,,,,,
Oberharrern in Gm. Schlatt OÖ,6.546,5.2b39,,,,,,,,
Lüsen STir.,6.268,1A.4c01,,,,,,,,
Pabneukn. OÖ,6.258,5.4h06,,,,,,,,
Schwaz NTir.,6.248,1C.2a19,,,,,,,,
Gastern NÖ,6.180,6.3a07,,,,,,,,
Auss. St.,5.987,3.2i,,,,,,,,
(Umg.) Meran STir.,5.901,1A.1h,,,,,,,,
Kirchau in Gm. Warth NÖ,5.751,6.2h28,,,,,,,,
Kl.Feistritz in Gm. Reisstraße St.,5.580,3.1i01,,,,,,,,
Turrach in Gm. Predlitz-Turrach St.,5.509,3.1a05,,,,,,,,
St.Veit/M. OÖ,5.332,5.4d13,,,,,,,,
Sölden NTir.,5.246,1C.1r01,,,,,,,,
Ahrnt. in STir.,4.899,1A.4a01,,,,,,,,
Matrei NTir.,4.706,1C.2h02,,,,,,,,
Raschala in Gm. Hollabr. NÖ [2o/1.],4.630,6.4e06,,,,,,,,
Spannbg. NÖ [2o/2.],4.628,6.4f18,,,,,,,,
Windegg in Gm. Schwertbg. OÖ Achtung: Sammler u. Region oft verschr.,4.626,5.4h09,,,,,,,,
Puch NÖ,4.565,6.3a22,,,,,,,,
Kiens STir.,4.512,1A.4d02,,,,,,,,
Weer NTir.,4.472,1C.2a29,,,,,,,,
Hopfgtn. NTir. u. St.Johann NTir.,4.409,1C.3f02,1C.3i05,,,,,,,
Seiz in Gm. Kammern St.,4.386,3.2b02,,,,,,,,
Sarnt. in STir.,4.374,1A.3b01,,,,,,,,
Lichtent. (im 9.Bz.) in Gm. Wien,4.335,6.5,,,,,,,,
Innsbruck NTir.,4.294,1C.2m01,,,,,,,,
St.Lorenzen/G. Kä.,4.245,2.1i01,,,,,,,,
Trebesing Kä.,4.223,2.2c03,,,,,,,,
Kapfenbg. St.,4.079,3.2f02,,,,,,,,
Kundl NTir.,4.058,1C.3c08,,,,,,,,
STir.,4.018,1A,,,,,,,,
Umg.Graz St.,4.004,3.4d01,,,,,,,,
Winklern Kä.,3.994,2.1b06,,,,,,,,
(Umg.) Lamb. OÖ,3.980,5.2b18,,,,,,,,
(Ebene Reichenau in Gm.) Reichenau Kä.,3.923,2.2d02,,,,,,,,
Thening in Gm. Kirchbg.-Thening OÖ,3.911,5.2a17,,,,,,,,
Jahrings in Gm. Zwettl NÖ,3.728,6.3h05,,,,,,,,
Schneebg. in Gm. Puchbg. NÖ,3.719,6.2e03,,,,,,,,
Fieberbr. NTir.,3.715,1C.3k01,,,,,,,,
Favoriten (10.Bz.) in Gm. Wien,3.693,6.5,,,,,,,,
OÖ,3.658,5,,,,,,,,
Niederndf. NTir.,3.644,1C.3e09,,,,,,,,
Eggelsbg. OÖ,3.633,5.1a02,,,,,,,,
Wald St.,3.550,3.2b05,,,,,,,,
Schlanders STir.,3.505,1A.1d03,,,,,,,,
Neckenmt. Bgl.,3.441,7.2a08,,,,,,,,
Türnitz NÖ,3.432,6.1p12,,,,,,,,
Lanzendf. in Gm. Mistelb. NÖ,3.399,6.4f15,,,,,,,,
Leonding OÖ,3.387,5.2a18,,,,,,,,
Aspang NÖ,3.359,6.2h02,,,,,,,,
Sillian OTir.,3.343,1B.0a05,,,,,,,,
Waidhfn./Y. NÖ,3.308,6.1i06,,,,,,,,
(Umg.) Mals STir.,3.243,1A.1a02,,,,,,,,
Thal St.,3.202,3.4b28,,,,,,,,
Dt.Gerisdf. in Gm. Pilgersdf. Bgl.,3.086,7.2b08,,,,,,,,
Maxglan in Gm. Salzb-g. Sa.,3.022,4.5e01,,,,,,,,
Vorau St.,2.966,3.5d20,,,,,,,,
Kötschach in Gm. Kötschach-Mauthen Kä.,2.961,2.1g01,,,,,,,,
St.Anton NÖ,2.895,6.1g08,,,,,,,,
Ravelsbach,2.873,6.4e08,,,,,,,,
Pernegg in Gm. Glanhfn. Kä.,2.821,2.3f01,,,,,,,,
Thalg. Sa.,2.798,4.5d07,,,,,,,,
Gramastetten OÖ,2.791,5.4c04,,,,,,,,
Saalfdn. Sa.,2.785,4.2g02,,,,,,,,
Kremsmst. OÖ,2.775,5.3g05,,,,,,,,
Biberwier NTir.,2.732,1C.1f02,,,,,,,,
Fratres in Gm. Waldkn. NÖ,2.716,6.3a24,,,,,,,,
Mittelbg. in Gm. Langenlois NÖ,2.689,6.3s04,,,,,,,,
St.Christophen in Gm. Neulengb. NÖ,2.666,6.2a07,,,,,,,,
Monds.Ld. in OÖ,2.655,5.2d06,,,,,,,,
VUMB in NÖ ^#^# tw. LT-O,2.626,6.4c,,,,,,,,
Engelbrechts in Gm. Kautzen NÖ,2.601,6.3a15,,,,,,,,
Kirchbg./W. NÖ (Schottwien=Wohnort),2.547,6.2h13,,,,,,,,
Gr.Wetzdf. in Gm. Heldenbg. NÖ,2.511,6.4e04,,,,,,,,
(Umg.) Zell NTir.,2.495,1C.2k09,,,,,,,,
"Kufstn. NTir. ^#^# mehrf. ""Kammerlander"", wohl Irrtum?",2.449,1C.3e06,,,,,,,,
Strobl Sa.,2.448,4.5d06,,,,,,,,
NÖ,2.446,6,,,,,,,,
Eidenbg. OÖ,2.395,5.4c01,,,,,,,,
Leopoldau (im 21.Bz.) in Wien,2.324,6.5,,,,,,,,
Obertrum Sa.,2.322,4.5b10,,,,,,,,
St.Peter/S. St.,2.295,3.3e12,,,,,,,,
Gr.Pertholz NÖ,2.278,6.3c03,,,,,,,,
St.Leonhard/H. NÖ,2.262,6.3q03,,,,,,,,
Leobersdf. NÖ,2.226,6.2j10,,,,,,,,
Pulgarn in Gm. Steyregg OÖ,2.146,5.4e13,,,,,,,,
Prutz NTir.,2.111,1C.1m08,,,,,,,,
Feldkn. Kä.,2.099,2.3f01,,,,,,,,
Ma.Luggau Kä.,2.076,2.1f01,,,,,,,,
Wald Sa.,2.051,4.2a10,,,,,,,,
Molln OÖ,2.045,5.3n04,,,,,,,,
Niederkappel OÖ,2.017,5.4a09,,,,,,,,
Raabs NÖ,2.002,6.3b09,,,,,,,,
Höbersdf. in Gm. Sierndf./S. NÖ,1.984,6.4g04,,,,,,,,
westl.Bz. von W.,1.980,6.5,,,,,,,,
Pust.,1.968,1A.4i,1B.0c,1A.4d,1B.0a,,,,,
STir. [o.O.] ^#^# S.-Ang. unklar,1.962,1.A,,,,,,,,
Nußdf. Sa.,1.915,4.5b08,,,,,,,,
St.Jakob OTir.,1.912,1B.0d02,,,,,,,,
Defr.,1.903,1B.0d,,,,,,,,
Dimb. OÖ,1.900,5.4h02,,,,,,,,
(Umg.) Rappoltenkn. NÖ,1.894,6.1r02,,,,,,,,
Neuhfn. NÖ,1.879,6.1d10,,,,,,,,
Oberschützen Bgl.,1.870,7.3d04,,,,,,,,
Greifenb-g. Kä.,1.846,2.1d03,,,,,,,,
Landl St.,1.836,3.2o03,,,,,,,,
Raschala in Gm. Hollabr. NÖ,1.829,6.4e06,,,,,,,,
Thalhm. OÖ,1.822,5.3i08,,,,,,,,
Pyhra NÖ,1.813,6.1q06,,,,,,,,
Ramsau St.,1.803,3.2j08,,,,,,,,
Hall NTir.,1.789,1C.2a10,,,,,,,,
Hall St.,1.781,3.2p01,,,,,,,,
Losenstn. OÖ,1.780,5.3o04,,,,,,,,
mPulkaut. in NÖ,1.753,6.4b,,,,,,,,
Mörbisch Bgl.,1.731,7.1e08,,,,,,,,
Niedernsill Sa.,1.726,4.2a06,,,,,,,,
Kraig Kä.,1.716,2.3g01,,,,,,,,
Stillfried in Gm. Stillfried-Grub NÖ,1.713,6.4k01,,,,,,,,
Kauns NTir.,1.713,1C.1l03,,,,,,,,
W.,1.694,6.5,,,,,,,,
Krimml Sa.,1.694,4.2a03,,,,,,,,
St.Veit in Gm. Berndf. NÖ ^#^# 2.SammlerN?,1.680,6.2c02,,,,,,,,
NBgl.,1.675,7.1,,,,,,,,
Tarrenz NTir.,1.671,1C.1v02,,,,,,,,
Kliening Kä.,1.670,2.4c04,,,,,,,,
Radst. Sa.,1.642,4.3h06,,,,,,,,
Uttendf. Sa.,1.635,4.2a09,,,,,,,,
Klagenfurt Kä.,1.633,2.3n01,,,,,,,,
Pfaffstätten NÖ,1.621,6.2b20,,,,,,,,
Ebens. OÖ,1.611,5.3a01,,,,,,,,
Proveis STir.,1.606,1A.1n02,,,,,,,,
Tux,1.605,1C.2j04,,,,,,,,
Graz St.,1.596,3.4d01,,,,,,,,
"Neukn./L. OÖ ^#^# SammlerN-Abk. ""HA"" oft verlesen",1.593,5.2b21,,,,,,,,
Hall OÖ,1.590,5.3g02,,,,,,,,
Suttenbrunn in Gm. Hollabr. NÖ,1.589,6.4e06,,,,,,,,
Bernschl. in Gm. Allentsteig NÖ,1.587,6.3f01,,,,,,,,
Kitzbühel NTir.,1.580,1C.3i03,,,,,,,,
St.Pölten NÖ,1.574,6.1t01,,,,,,,,
Münzkn. OÖ,1.551,5.1e05,,,,,,,,
Mureck St.,1.532,3.5l03,,,,,,,,
Krumb. NÖ,1.514,6.2h15,,,,,,,,
St.Gertraud in Gm. Frantschach-St.Gertraud Kä.,1.510,2.4c01,,,,,,,,
St.Jakob in Gm. St.Anton NTir.,1.505,1C.1g02,,,,,,,,
